soil_type,temperature,rainfall,ph,humidity,suitable
sandy,20.275481725226925,160.8908961769488,6.519379527572071,40.699318949279146,0
clay,36.80185354543069,163.68297009252495,6.6732020934531535,94.58284702692086,0
sandy,29.018717910474667,187.27589117355143,6.555983471234899,76.93002141920539,1
sandy,29.708794071201126,195.23300444092234,6.852233512360317,57.43073625397197,1
clay,32.31134784916654,295.9411459600527,4.617577783026029,88.3597762998811,0
clay,31.08532095901845,174.33448974331992,6.082060679396061,54.21373911604999,1
sandy,36.99004888209363,206.42259367917242,6.924754854244686,69.92091185505134,0
loam,36.99652874825301,248.74351650378412,6.890894261023457,74.98389200514038,0
sandy,35.60958080399007,181.9860058088457,7.671824378422526,52.158485429955064,0
sandy,31.455264754028203,305.8724995889299,7.120037355328434,93.81185033403278,1
sandy,34.41708730428319,238.61247314320008,8.468533265362689,81.15055482884486,0
sandy,32.18903016289367,159.39206338966233,5.6354181144345805,70.67972740310884,0
clay,30.3206067500948,272.79598394325365,5.936604118664926,49.93270289964155,1
sandy,22.313006358210384,222.46488713909218,6.0353886074711856,42.962201384891436,1
loam,34.601675181248055,224.30309063945666,6.363251228080994,57.60329078865409,0
clay,34.771510563391196,209.8937460646482,7.843992255124838,81.42530347523716,0
loam,31.26691406182831,214.19322618173723,5.443168375836839,54.813221406611376,0
loam,34.767683187882824,286.64619588788497,7.604000828141718,69.67559212725278,0
loam,31.726725893440182,107.80499941945519,6.121240732342974,80.03709472019088,0
loam,23.72031847778142,170.2779590538302,6.907421534648034,45.93690430555554,1
clay,24.93130029178041,100.3859082270501,7.030162132905224,77.69139088637303,0
clay,23.862604154750734,283.37647960181175,5.991394548755737,45.05289882405246,1
loam,26.790663498103566,153.52150077448084,6.55046082082322,93.08213581698482,1
loam,20.701336381584206,322.30621065109875,6.152124698590788,66.86167715357168,0
clay,31.12856991808207,222.17618599800932,4.776531144746478,48.28718592404326,0
clay,26.057975867997076,296.20243830125264,6.248661555267306,58.83109998184506,1
clay,31.80300743685336,344.31148761630953,4.889573570214209,62.73790471123938,0
sandy,26.93713917738017,306.74299205327407,6.120083196321286,81.70017560920955,1
sandy,32.269046041510215,314.08831520311134,6.871673599327128,80.88830823421351,0
sandy,26.131242250356323,190.15581374850808,6.8176595973740035,73.65672779355322,1
loam,24.692501508246256,228.96510072002172,7.150485116033281,45.826189190717116,1
sandy,28.92867417728131,148.54991229169215,4.881046031818505,48.33631543732205,0
loam,32.47202645645491,132.95053691723226,7.108492982121751,45.156630635505614,0
loam,26.270058880157553,216.48712735862912,5.748592226785789,71.74450308081525,1
sandy,36.85966673340273,240.66322451911356,6.096183784548444,88.24261428312721,0
loam,20.70535388016163,171.60323639197156,7.9319450156908236,63.85902817401245,0
sandy,27.523028570880417,233.7497497961451,4.5361216165182014,48.84664956767604,0
sandy,37.416449927364454,319.6143302786458,6.853650533362422,70.69232788319319,0
clay,29.86349389846557,230.31482789150886,6.89485592040043,84.64637192761404,1
sandy,27.622476961546134,274.61953600383674,6.086639105374248,80.79416338321116,1
clay,30.23336510749925,297.4350411866344,5.448111428433345,88.47979288212618,0
sandy,30.36664235464552,346.95677112796955,5.438696153046204,55.28461534868773,0
sandy,33.169659595393526,242.8632985877845,8.03483867864301,50.667462699727615,0
clay,22.29841512960438,297.84954021989824,6.26809749513143,88.38990672680663,1
clay,24.500296085889886,339.91531600981614,5.823557451956688,76.16581720279126,1
sandy,30.449792222190375,334.9906259058638,6.295110295325612,57.10109115041548,1
loam,35.608098929775,118.09209916998267,7.177561605837445,80.829142781488,0
clay,30.113600458587925,189.72592323385095,5.083026272979007,84.83151114642024,0
loam,24.294743476226124,167.4773164988359,6.297735340854951,73.82380321876228,1
loam,32.23720603820443,103.46975403659431,6.851537484441548,77.83362604339533,0
loam,33.31835768805274,250.97500922595935,8.294333419405735,60.63929474434665,0
clay,24.28825074327163,278.6942455629206,5.510111128301677,69.62826170386715,1
loam,26.799119951173306,308.99458577605856,5.937002991664983,68.82875438993892,1
clay,29.61789452355014,113.1497602089313,6.017434359689695,86.64262851219246,0
loam,28.938101432295397,316.63990048632934,6.922152630579531,86.19801891552004,1
sandy,27.013125551945663,253.58990217584838,5.926928212160007,85.79742581408738,1
sandy,25.357433141167597,270.06545648739757,6.634047701198782,40.60673878443562,1
clay,21.79972796891354,325.8684809558821,7.627161319380118,81.22500164578885,0
sandy,20.96273534145264,248.6855431816778,7.321542376448814,81.72720145610526,0
sandy,37.25374694389757,170.68378143045547,6.285474586050342,77.3108352570328,0
loam,35.248576593720614,302.77897948411817,7.956864710696676,81.5945561840299,0
clay,26.38829342832897,178.02598729267444,6.732560998375451,86.30837043231898,1
loam,37.22241593227621,89.24158992154287,6.65962335800885,65.86754797559821,0
loam,32.18185827963746,304.2767167726174,4.636751063756632,67.61276174186459,0
loam,28.685377093567567,173.20187911794443,8.446771921428645,46.859273130126475,0
loam,28.87446183989249,288.93532126436185,4.991883234118507,61.1956735676049,0
loam,21.499119401514672,177.94463155980526,5.424523649710586,75.38508489514814,0
loam,21.65067465065266,312.48836539317483,4.706787348966108,82.9219876881001,0
loam,30.84393666622014,139.26784177185885,7.060011867347654,51.946500373016576,0
clay,29.966654942224416,343.12776160369486,5.39880470789072,47.58025945375795,0
sandy,23.82910211043612,290.5348691927683,5.220041749890894,76.46731024752708,0
loam,37.031501771870424,110.84423999850715,4.854222336892965,40.10339359387009,0
loam,34.063328908481644,232.75968739097132,4.913235828496063,49.81049213690314,0
loam,22.042362836314062,346.04917430526837,6.838682801770355,41.59892591891746,1
loam,36.75672390237126,207.18767222732987,7.252831463466382,49.1786814820179,0
loam,37.536467753619384,129.16892748182747,6.089515953857604,49.97256039590279,0
loam,37.92676235654592,210.89015913059347,6.419588326368293,61.32204771127168,0
sandy,21.0056807841923,218.36356708811883,7.243870943931936,62.12799185776058,0
sandy,33.26664002223816,280.2554749417397,4.569519160741919,88.08443588356307,0
loam,29.826483862969802,268.6883803534442,5.792522628281114,68.05603418743539,1
sandy,32.7049667098165,188.68851177118475,8.392390992281385,79.78726210867575,0
clay,37.43573499153443,138.86623902340335,6.820448918781873,45.72755468561581,0
loam,32.384540183150705,254.16462529771894,5.5168983195899735,52.399131550503164,0
clay,35.06534973627273,193.8600623293861,6.586920186544853,78.66188925382723,0
clay,35.60363669559514,115.7145770038392,5.870613952483661,42.904217825769045,0
loam,35.09265374775173,323.15452133382416,6.628979955305196,66.76287142340642,0
sandy,27.669646550844938,266.6299015546067,5.002966047226595,72.96529311146136,0
clay,24.00637551627855,264.45964124028,5.0308586152771095,73.11801042288646,0
loam,27.139728835176534,302.0976464961519,5.074169448157571,41.26130461974231,0
clay,36.05414435798198,223.00865323687188,8.259279167707367,57.715940232605206,0
clay,22.63888679045646,300.06469566866343,7.431595673365367,75.00698580770347,1
clay,29.23987103646307,214.48450344797155,5.149527578649284,48.19498548820839,0
clay,24.1981053036415,98.13735797724172,5.253396335062406,78.24786065804292,0
sandy,30.46349751008208,189.41698376747595,7.423317899483505,81.0258864847521,1
clay,35.53649339580207,214.31552137457047,5.124655379168695,94.00830547453799,0
clay,35.8464794354915,274.45469704071985,5.438245173339315,51.54130971710252,0
clay,24.260333486277418,108.77625713474208,8.353387331281596,85.38218672163634,0
sandy,36.338486714273834,117.80500543832123,5.521226098913727,68.61631173052598,0
clay,30.653997298783118,151.19462671134644,7.146529401484587,60.540442787929535,1
clay,26.303928440605645,151.95456621013818,8.414525149602122,46.73072165288479,0
sandy,32.747261520497595,277.68983618394685,5.997187068559171,80.45280835681456,0
sandy,28.67000578335408,147.69727835163138,4.5700639634482485,52.972167952902794,0
sandy,26.80377662220058,250.93647710651084,5.476589161689497,60.42821010301752,0
clay,32.691518557339876,213.45393953733327,7.823508765366822,43.439822479355264,0
sandy,24.477034779745182,234.78948210843816,7.958435343820147,84.07518037007355,0
sandy,25.944545522343773,306.28888005813985,7.574077458095164,82.16236881844038,0
clay,27.820133200788884,189.18300541823658,4.952439276306292,80.34887065232718,0
sandy,24.5662791297165,288.146071807353,7.682041486785613,56.469393077053766,0
clay,27.29363756206551,193.9497360786856,8.174711187974017,49.54140408462765,0
loam,30.28651445369019,175.54527167153736,6.902438170184944,75.06542954586263,1
